From	To	Species	Gene Name
LOC111130365	111130365	Crassostrea virginica	F-box only protein 22-like(LOC111130365)
LOC111119203	111119203	Crassostrea virginica	axin-1-like(LOC111119203)
LOC111124802	111124802	Crassostrea virginica	uncharacterized LOC111124802(LOC111124802)
LOC111130000	111130000	Crassostrea virginica	uncharacterized LOC111130000(LOC111130000)
LOC111100714	111100714	Crassostrea virginica	E3 ubiquitin-protein ligase RNF13-like(LOC111100714)
LOC111129261	111129261	Crassostrea virginica	UPF0235 protein C15orf40 homolog(LOC111129261)
LOC111108664	111108664	Crassostrea virginica	transcription factor TFIIIB component B'' homolog(LOC111108664)
LOC111119559	111119559	Crassostrea virginica	uncharacterized LOC111119559(LOC111119559)
LOC111108303	111108303	Crassostrea virginica	aldehyde dehydrogenase family 8 member A1-like(LOC111108303)
LOC111135946	111135946	Crassostrea virginica	cytochrome b-c1 complex subunit Rieske, mitochondrial-like(LOC111135946)
LOC111105030	111105030	Crassostrea virginica	uncharacterized LOC111105030(LOC111105030)
LOC111138095	111138095	Crassostrea virginica	E3 ubiquitin-protein ligase RNF185-like(LOC111138095)
LOC111118225	111118225	Crassostrea virginica	N-acetyltransferase ESCO2-like(LOC111118225)
LOC111108426	111108426	Crassostrea virginica	dedicator of cytokinesis protein 3-like(LOC111108426)
LOC111123845	111123845	Crassostrea virginica	uncharacterized LOC111123845(LOC111123845)
LOC111125905	111125905	Crassostrea virginica	kinesin-like protein KIF13B(LOC111125905)
LOC111108451	111108451	Crassostrea virginica	integrator complex subunit 13-like(LOC111108451)
LOC111129350	111129350	Crassostrea virginica	cysteine synthase 1-like(LOC111129350)
LOC111123809	111123809	Crassostrea virginica	putative oxidoreductase GLYR1(LOC111123809)
LOC111131555	111131555	Crassostrea virginica	unconventional myosin-IXb-like(LOC111131555)
LOC111134709	111134709	Crassostrea virginica	leucine-rich repeat and coiled-coil domain-containing protein 1-like(LOC111134709)
LOC111101943	111101943	Crassostrea virginica	nuclear pore complex protein Nup205-like(LOC111101943)
LOC111121996	111121996	Crassostrea virginica	prostaglandin E2 receptor EP4 subtype-like(LOC111121996)
LOC111100739	111100739	Crassostrea virginica	DNA polymerase theta-like(LOC111100739)
LOC111122604	111122604	Crassostrea virginica	uncharacterized LOC111122604(LOC111122604)
LOC111124908	111124908	Crassostrea virginica	fatty acid desaturase 2-like(LOC111124908)
LOC111123938	111123938	Crassostrea virginica	uncharacterized LOC111123938(LOC111123938)
LOC111117164	111117164	Crassostrea virginica	cytoplasmic aconitate hydratase-like(LOC111117164)
LOC111112700	111112700	Crassostrea virginica	ubiquitin carboxyl-terminal hydrolase 8-like(LOC111112700)
LOC111109410	111109410	Crassostrea virginica	uncharacterized LOC111109410(LOC111109410)
LOC111108202	111108202	Crassostrea virginica	E3 ubiquitin-protein ligase HUWE1-like(LOC111108202)
LOC111133985	111133985	Crassostrea virginica	zinc finger CCCH domain-containing protein 18-like(LOC111133985)
LOC111129125	111129125	Crassostrea virginica	protein numb-like(LOC111129125)
LOC111128277	111128277	Crassostrea virginica	arrestin domain-containing protein 3-like(LOC111128277)
LOC111134716	111134716	Crassostrea virginica	ranBP-type and C3HC4-type zinc finger-containing protein 1-like(LOC111134716)
LOC111105299	111105299	Crassostrea virginica	uncharacterized LOC111105299(LOC111105299)
LOC111099722	111099722	Crassostrea virginica	MAM and LDL-receptor class A domain-containing protein 1-like(LOC111099722)
LOC111111976	111111976	Crassostrea virginica	uncharacterized LOC111111976(LOC111111976)
LOC111134719	111134719	Crassostrea virginica	ubiquitin carboxyl-terminal hydrolase 32-like(LOC111134719)
LOC111117391	111117391	Crassostrea virginica	zinc finger protein 271-like(LOC111117391)
LOC111122852	111122852	Crassostrea virginica	lipoxygenase homology domain-containing protein 1-like(LOC111122852)
LOC111119699	111119699	Crassostrea virginica	extracellular matrix protein FRAS1-like(LOC111119699)
LOC111130353	111130353	Crassostrea virginica	tubulin polyglutamylase ttll6-like(LOC111130353)
LOC111130352	111130352	Crassostrea virginica	uncharacterized LOC111130352(LOC111130352)
LOC111100602	111100602	Crassostrea virginica	WD repeat-containing protein 34-like(LOC111100602)
LOC111119574	111119574	Crassostrea virginica	cyclin-dependent kinase-like 4(LOC111119574)
LOC111105082	111105082	Crassostrea virginica	uncharacterized LOC111105082(LOC111105082)
LOC111129294	111129294	Crassostrea virginica	ankycorbin-like(LOC111129294)
LOC111134646	111134646	Crassostrea virginica	uncharacterized LOC111134646(LOC111134646)
LOC111134403	111134403	Crassostrea virginica	uncharacterized LOC111134403(LOC111134403)
LOC111135975	111135975	Crassostrea virginica	nuclear factor of activated T-cells 5-like(LOC111135975)
LOC111134405	111134405	Crassostrea virginica	dihydroorotate dehydrogenase (quinone), mitochondrial-like(LOC111134405)
LOC111133558	111133558	Crassostrea virginica	cytochrome P450 1B1-like(LOC111133558)
LOC111134768	111134768	Crassostrea virginica	alpha-centractin(LOC111134768)
LOC111111528	111111528	Crassostrea virginica	uncharacterized LOC111111528(LOC111111528)
LOC111118030	111118030	Crassostrea virginica	uncharacterized LOC111118030(LOC111118030)
LOC111117060	111117060	Crassostrea virginica	uncharacterized LOC111117060(LOC111117060)
LOC111124603	111124603	Crassostrea virginica	calpain-9-like(LOC111124603)
LOC111120247	111120247	Crassostrea virginica	ABC transporter F family member 4-like(LOC111120247)
LOC111122305	111122305	Crassostrea virginica	ferric-chelate reductase 1-like(LOC111122305)
LOC111119126	111119126	Crassostrea virginica	uncharacterized LOC111119126(LOC111119126)
LOC111119125	111119125	Crassostrea virginica	tetratricopeptide repeat protein 17-like(LOC111119125)
LOC111119366	111119366	Crassostrea virginica	MICAL-like protein 2(LOC111119366)
LOC111119487	111119487	Crassostrea virginica	ragulator complex protein LAMTOR3-A-like(LOC111119487)
LOC111110660	111110660	Crassostrea virginica	WASH complex subunit 1-like(LOC111110660)
LOC111134531	111134531	Crassostrea virginica	transcription elongation regulator 1-like(LOC111134531)
LOC111107250	111107250	Crassostrea virginica	dynein heavy chain 3, axonemal-like(LOC111107250)
LOC111112605	111112605	Crassostrea virginica	talin-1-like(LOC111112605)
LOC111120493	111120493	Crassostrea virginica	speckle targeted PIP5K1A-regulated poly(A) polymerase-like(LOC111120493)
LOC111118260	111118260	Crassostrea virginica	pentatricopeptide repeat-containing protein 1, mitochondrial-like(LOC111118260)
LOC111120496	111120496	Crassostrea virginica	intraflagellar transport protein 140 homolog(LOC111120496)
LOC111130297	111130297	Crassostrea virginica	A-kinase anchor protein 13-like(LOC111130297)
LOC111119596	111119596	Crassostrea virginica	caspase recruitment domain-containing protein 11-like(LOC111119596)
LOC111100869	111100869	Crassostrea virginica	growth arrest-specific protein 2-like(LOC111100869)
LOC111135830	111135830	Crassostrea virginica	PHD finger protein 12-like(LOC111135830)
LOC111135952	111135952	Crassostrea virginica	uncharacterized LOC111135952(LOC111135952)
LOC111112636	111112636	Crassostrea virginica	uncharacterized LOC111112636(LOC111112636)
LOC111129277	111129277	Crassostrea virginica	uncharacterized LOC111129277(LOC111129277)
LOC111122887	111122887	Crassostrea virginica	trafficking kinesin-binding protein 1-like(LOC111122887)
LOC111123973	111123973	Crassostrea virginica	islet cell autoantigen 1-like(LOC111123973)
LOC111119269	111119269	Crassostrea virginica	guanine nucleotide-binding protein subunit beta-2-like 1(LOC111119269)
LOC111131591	111131591	Crassostrea virginica	protein bark beetle-like(LOC111131591)
LOC111108243	111108243	Crassostrea virginica	nischarin-like(LOC111108243)
LOC111135603	111135603	Crassostrea virginica	demethylmenaquinone methyltransferase-like(LOC111135603)
LOC111134995	111134995	Crassostrea virginica	tankyrase-1-like(LOC111134995)
LOC111136937	111136937	Crassostrea virginica	probable cation-transporting ATPase 13A3(LOC111136937)
LOC111099923	111099923	Crassostrea virginica	uncharacterized LOC111099923(LOC111099923)
LOC111135848	111135848	Crassostrea virginica	trifunctional nucleotide phosphoesterase protein YfkN-like(LOC111135848)
LOC111135968	111135968	Crassostrea virginica	E3 ubiquitin-protein ligase ZNRF3-like(LOC111135968)
LOC111129049	111129049	Crassostrea virginica	nucleolar protein 6-like(LOC111129049)
LOC111119493	111119493	Crassostrea virginica	ubiquitin carboxyl-terminal hydrolase 24-like(LOC111119493)
LOC111099918	111099918	Crassostrea virginica	vacuolar protein sorting-associated protein 13D-like(LOC111099918)
LOC111120474	111120474	Crassostrea virginica	heterogeneous nuclear ribonucleoprotein F-like(LOC111120474)
LOC111119012	111119012	Crassostrea virginica	uncharacterized LOC111119012(LOC111119012)
